iter	Passed	Remaining
447	1307	1610
448	1308	1605
449	1310	1601
450	1311	1596
451	1313	1592
452	1314	1587
453	1316	1582
454	1318	1579
455	1320	1575
456	1321	1570
457	1323	1565
458	1324	1561
459	1326	1557
460	1327	1552
461	1329	1547
462	1330	1543
463	1332	1539
464	1334	1535
465	1336	1531
466	1337	1526
467	1339	1522
468	1341	1518
469	1342	1514
470	1344	1509
471	1345	1505
472	1348	1501
473	1349	1497
474	1350	1493
475	1352	1489
476	1354	1484
477	1355	1480
478	1357	1476
479	1358	1471
480	1360	1467
481	1362	1464
482	1364	1460
483	1365	1455
484	1367	1451
485	1368	1447
486	1370	1443
487	1371	1439
488	1373	1434
489	1374	1430
490	1377	1427
491	1379	1423
492	1380	1419
493	1382	1415
494	1383	1411
495	1385	1407
496	1386	1403
497	1387	1399
498	1389	1394
499	1390	1390
500	1392	1387
501	1394	1383
502	1395	1379
503	1397	1374
504	1398	1370
505	1400	1366
506	1401	1362
507	1403	1358
508	1404	1354
509	1406	1351
510	1408	1347
511	1409	1343
512	1411	1339
513	1412	1335
514	1414	1331
515	1415	1327
516	1417	1323
517	1418	1319
518	1420	1316
519	1422	1313
520	1424	1309
521	1425	1305
522	1427	1302
523	1429	1298
524	1430	1294
525	1432	1290
526	1433	1286
527	1435	1283
528	1437	1279
529	1438	1276
530	1440	1272
531	1442	1268
532	1443	1264
533	1444	1260
534	1446	1257
535	1447	1253
536	1449	1249
537	1451	1246
538	1452	1242
539	1454	1238
540	1455	1235
541	1457	1231
542	1458	1227
543	1460	1224
544	1461	1220
545	1463	1216
546	1465	1213
547	1467	1210
548	1468	1206
549	1470	1202
550	1471	1199
551	1473	1195
552	1475	1192
553	1476	1188
554	1477	1184
555	1479	1181
556	1481	1178
557	1483	1174
558	1484	1171
559	1486	1167
560	1487	1164
561	1489	1160
562	1490	1156
563	1491	1153
564	1493	1149
565	1495	1146
566	1496	1142
567	1498	1139
568	1499	1136
569	1501	1132
570	1503	1129
571	1504	1126
572	1506	1122
573	1509	1120
574	1511	1117
575	1514	1114
576	1516	1111
577	1518	1108
578	1520	1105
579	1521	1101
580	1523	1098
581	1525	1095
582	1527	1092
583	1528	1088
584	1530	1085
585	1532	1082
586	1533	1079
587	1535	1075
588	1536	1072
589	1540	1070
590	1542	1067
591	1544	1064
592	1545	1060
593	1547	1057
594	1548	1054
595	1550	1050
596	1551	1047
597	1555	1045
598	1557	1042
599	1558	1039
600	1560	1036
601	1562	1032
602	1563	1029
603	1565	1026
604	1567	1023
605	1569	1020
606	1571	1017
607	1573	1014
608	1575	1011
609	1577	1008
610	1578	1004
611	1580	1001
612	1582	998
613	1584	996
614	1586	993
615	1588	990
616	1589	986
617	1591	983
618	1593	980
619	1594	977
620	1596	974
621	1599	971
622	1600	968
623	1603	966
624	1605	963
625	1607	960
626	1608	957
627	1610	953
628	1612	951
629	1615	948
630	1616	945
631	1619	942
632	1621	940
633	1623	936
634	1624	933
635	1626	930
636	1628	928
637	1630	925
638	1632	922
639	1634	919
640	1635	916
641	1637	912
642	1639	910
643	1640	907
644	1643	904
645	1645	901
646	1647	898
647	1649	895
648	1650	892
649	1652	889
650	1654	886
651	1657	884
652	1658	881
653	1660	878
654	1662	875
655	1663	872
656	1665	869
657	1666	866
658	1669	864
659	1672	861
660	1673	858
661	1675	855
662	1677	852
663	1678	849
664	1680	846
665	1682	843
666	1684	841
667	1686	838
668	1688	835
669	1690	832
670	1691	829
671	1693	826
672	1694	823
673	1696	820
674	1698	817
675	1701	815
676	1702	812
677	1704	809
678	1706	806
679	1707	803
680	1709	800
681	1711	797
682	1713	795
683	1715	792
684	1717	789
685	1718	786
686	1720	783
687	1722	780
688	1723	778
689	1725	775
690	1729	773
691	1731	770
692	1732	767
693	1734	764
694	1736	761
695	1737	758
696	1738	755
697	1740	753
698	1743	750
699	1745	748
700	1747	745
701	1749	742
702	1751	740
703	1753	737
704	1755	734
705	1757	731
706	1759	729
707	1761	726
708	1762	723
709	1764	720
710	1765	717
711	1767	714
712	1769	712
713	1770	709
714	1774	707
715	1775	704
716	1777	701
717	1779	698
718	1781	696
719	1782	693
720	1784	690
721	1786	687
722	1788	685
723	1790	682
724	1791	679
725	1793	676
726	1794	673
727	1796	671
728	1797	668
729	1799	665
730	1800	662
731	1802	660
732	1804	657
733	1805	654
734	1807	651
735	1809	649
736	1810	646
737	1812	643
738	1814	640
739	1817	638
740	1819	635
741	1821	633
742	1822	630
743	1824	627
744	1825	625
745	1827	622
746	1828	619
747	1833	617
748	1834	614
749	1836	612
750	1838	609
751	1840	606
752	1841	604
753	1843	601
754	1845	598
755	1847	596
756	1848	593
757	1850	590
758	1851	587
759	1853	585
760	1854	582
761	1856	579
762	1858	577
763	1860	574
764	1862	572
765	1864	569
766	1866	566
767	1867	564
768	1869	561
769	1871	558
770	1873	556
771	1879	554
772	1881	552
773	1883	549
774	1884	547
775	1886	544
776	1887	541
777	1889	539
778	1892	536
779	1894	534
780	1896	531
781	1898	529
782	1899	526
783	1901	523
784	1902	521
785	1904	518
786	1907	516
787	1908	513
788	1910	510
789	1912	508
790	1913	505
791	1915	502
792	1917	500
793	1918	497
794	1921	495
795	1923	492
796	1925	490
797	1926	487
798	1928	485
799	1930	482
800	1932	479
801	1933	477
802	1935	474
803	1937	472
804	1938	469
805	1940	467
806	1941	464
807	1943	461
808	1945	459
809	1947	456
810	1949	454
811	1952	451
812	1953	449
813	1955	446
814	1956	444
815	1958	441
816	1959	438
817	1961	436
818	1962	433
819	1965	431
820	1967	428
821	1969	426
822	1970	423
823	1972	421
824	1973	418
825	1975	416
826	1977	413
827	1979	411
828	1981	408
829	1983	406
830	1984	403
831	2023	408
832	2026	406
833	2030	404
834	2033	401
835	2036	399
836	2038	396
837	2040	394
838	2044	392
839	2047	389
840	2049	387
841	2051	384
842	2054	382
843	2056	380
844	2059	377
845	2062	375
846	2065	373
847	2067	370
848	2069	367
849	2071	365
850	2074	363
851	2076	360
852	2079	358
853	2081	355
854	2083	353
855	2086	351
856	2090	348
857	2108	348
858	2111	346
859	2113	343
860	2115	341
861	2116	338
862	2119	336
863	2122	334
864	2124	331
865	2126	329
866	2128	326
867	2130	323
868	2134	321
869	2138	319
870	2140	317
871	2142	314
872	2144	311
873	2146	309
874	2148	306
875	2152	304
876	2155	302
877	2157	299
878	2160	297
879	2162	294
880	2164	292
881	2166	289
882	2168	287
883	2170	284
884	2172	282
885	2174	279
886	2175	277
887	2177	274
888	2179	272
889	2186	270
890	2188	267
891	2191	265
892	2193	262
893	2195	260
894	2199	258
895	2202	255
896	2204	253
897	2205	250
898	2208	248
899	2210	245
900	2211	243
901	2214	240
902	2215	238
903	2217	235
904	2218	232
905	2220	230
906	2221	227
907	2223	225
908	2224	222
909	2225	220
910	2228	217
911	2229	215
912	2231	212
913	2232	210
914	2234	207
915	2235	205
916	2237	202
917	2238	199
918	2240	197
919	2242	195
920	2244	192
921	2246	190
922	2247	187
923	2249	184
924	2250	182
925	2252	179
926	2253	177
927	2254	174
928	2259	172
929	2262	170
930	2264	167
931	2266	165
932	2268	162
933	2269	160
934	2271	157
935	2274	155
936	2276	153
937	2278	150
938	2280	148
939	2281	145
940	2283	143
941	2285	140
942	2287	138
943	2289	135
944	2291	133
945	2292	130
946	2294	128
947	2295	125
948	2297	123
949	2299	121
950	2301	118
951	2303	116
952	2304	113
953	2306	111
954	2308	108
955	2309	106
956	2311	103
957	2313	101
958	2314	98
959	2317	96
960	2319	94
961	2321	91
962	2322	89
963	2324	86
964	2326	84
965	2327	81
966	2329	79
967	2332	77
968	2333	74
969	2335	72
970	2336	69
971	2338	67
972	2340	64
973	2342	62
974	2343	60
975	2346	57
976	2349	55
977	2351	52
978	2353	50
979	2354	48
980	2356	45
981	2357	43
982	2359	40
983	2362	38
984	2363	35
985	2365	33
986	2367	31
987	2368	28
988	2370	26
989	2372	23
990	2373	21
991	2376	19
992	2378	16
993	2380	14
994	2382	11
995	2384	9
996	2385	7
997	2387	4
998	2388	2
999	2392	0
